CODE GEO;com_start;x_start;y_start;DCLT;com_end;x_end;y_end;Flux
33001;Abzac;-0.129;45.011;33063;Bordeaux;-0.573;44.858;60.983767915692
33002;Aillas;-0.067;44.483;33063;Bordeaux;-0.573;44.858;15.3355210132879
33003;Ambarès-et-Lagrave;-0.501;44.944;33063;Bordeaux;-0.573;44.858;1774.00385443398
33004;Ambès;-0.55;45.012;33063;Bordeaux;-0.573;44.858;239.740600554782
33005;Andernos-les-Bains;-1.081;44.754;33063;Bordeaux;-0.573;44.858;351.515884797587
33006;Anglade;-0.638;45.211;33063;Bordeaux;-0.573;44.858;25.7397498674251
33007;Arbanats;-0.402;44.671;33063;Bordeaux;-0.573;44.858;88.825130911503
33008;Porte-de-Benauge;-0.236;44.682;33063;Bordeaux;-0.573;44.858;10.0724460253409
33009;Arcachon;-1.174;44.654;33063;Bordeaux;-0.573;44.858;160.239299916941
33010;Arcins;-0.713;45.076;33063;Bordeaux;-0.573;44.858;62.7463503649637
33011;Arès;-1.079;44.795;33063;Bordeaux;-0.573;44.858;179.075738125802
33012;Arsac;-0.701;44.989;33063;Bordeaux;-0.573;44.858;401.921798195726
33013;Artigues-près-Bordeaux;-0.49;44.86;33063;Bordeaux;-0.573;44.858;992.233075649066
33014;Les Artigues-de-Lussac;-0.14;44.973;33063;Bordeaux;-0.573;44.858;5.09862076086395
33015;Arveyres;-0.277;44.892;33063;Bordeaux;-0.573;44.858;143.490634813868
33016;Asques;-0.426;44.948;33063;Bordeaux;-0.573;44.858;30.0173070991164
33017;Aubiac;-0.244;44.47;33063;Bordeaux;-0.573;44.858;5.08714464042324
33018;Val de Virvée;-0.385;45.02;33063;Bordeaux;-0.573;44.858;322.993608039815
33019;Audenge;-0.944;44.714;33063;Bordeaux;-0.573;44.858;375
33021;Auros;-0.164;44.508;33063;Bordeaux;-0.573;44.858;25.7424459753571
33022;Avensan;-0.761;45.006;33063;Bordeaux;-0.573;44.858;201.335422018813
33023;Ayguemorte-les-Graves;-0.484;44.703;33063;Bordeaux;-0.573;44.858;125
33024;Bagas;-0.049;44.619;33063;Bordeaux;-0.573;44.858;5.19582729998146
33025;Baigneaux;-0.194;44.724;33063;Bordeaux;-0.573;44.858;15.7943798179224
33026;Balizac;-0.448;44.486;33063;Bordeaux;-0.573;44.858;15.4951217550902
33027;Barie;-0.112;44.571;33063;Bordeaux;-0.573;44.858;15
33028;Baron;-0.318;44.824;33063;Bordeaux;-0.573;44.858;116.65105085179
33029;Le Barp;-0.747;44.627;33063;Bordeaux;-0.573;44.858;290
33030;Barsac;-0.324;44.602;33063;Bordeaux;-0.573;44.858;85.325546994353
33032;Bassens;-0.526;44.908;33063;Bordeaux;-0.573;44.858;969.280348743908
33033;Baurech;-0.434;44.727;33063;Bordeaux;-0.573;44.858;133.362535105624
33034;Bayas;-0.209;45.068;33063;Bordeaux;-0.573;44.858;15.0042135974907
33035;Bayon-sur-Gironde;-0.608;45.043;33063;Bordeaux;-0.573;44.858;40
33036;Bazas;-0.213;44.442;33063;Bordeaux;-0.573;44.858;95.0036106570858
33037;Beautiran;-0.46;44.703;33063;Bordeaux;-0.573;44.858;200.171411879826
33039;Bègles;-0.548;44.802;33063;Bordeaux;-0.573;44.858;4557.51453621714
33040;Béguey;-0.326;44.649;33063;Bordeaux;-0.573;44.858;65.4073462528597
33042;Belin-Béliet;-0.786;44.486;33063;Bordeaux;-0.573;44.858;231.050649049606
33043;Bellebat;-0.223;44.739;33063;Bordeaux;-0.573;44.858;15.4731214638654
33044;Bellefond;-0.173;44.767;33063;Bordeaux;-0.573;44.858;20
33045;Belvès-de-Castillon;-0.027;44.879;33063;Bordeaux;-0.573;44.858;5.41752955131275
33046;Bernos-Beaulac;-0.26;44.363;33063;Bordeaux;-0.573;44.858;24.7797356828191
33047;Berson;-0.574;45.117;33063;Bordeaux;-0.573;44.858;45.3895526474395
33049;Beychac-et-Caillau;-0.372;44.872;33063;Bordeaux;-0.573;44.858;234.669669864922
33050;Bieujac;-0.153;44.539;33063;Bordeaux;-0.573;44.858;40
33051;Biganos;-0.951;44.661;33063;Bordeaux;-0.573;44.858;472.311240885396
33052;Les Billaux;-0.244;44.962;33063;Bordeaux;-0.573;44.858;80
33053;Birac;-0.144;44.412;33063;Bordeaux;-0.573;44.858;4.95670995670996
33054;Blaignac;-0.054;44.551;33063;Bordeaux;-0.573;44.858;4.92959839454996
33056;Blanquefort;-0.613;44.923;33063;Bordeaux;-0.573;44.858;1674.36379766916
33057;Blasimon;-0.089;44.75;33063;Bordeaux;-0.573;44.858;9.71902787814629
33058;Blaye;-0.662;45.132;33063;Bordeaux;-0.573;44.858;55.482098853791
33059;Blésignac;-0.255;44.777;33063;Bordeaux;-0.573;44.858;15.2066218828385
33060;Bommes;-0.345;44.553;33063;Bordeaux;-0.573;44.858;23.0386355940568
33061;Bonnetan;-0.411;44.819;33063;Bordeaux;-0.573;44.858;107.715133531157
33062;Bonzac;-0.221;45.007;33063;Bordeaux;-0.573;44.858;25
33063;Bordeaux;-0.573;44.858;33063;Bordeaux;-0.573;44.858;74214.9603950887
33065;Bouliac;-0.504;44.817;33063;Bordeaux;-0.573;44.858;405.988124936525
33066;Bourdelles;0.005;44.559;33063;Bordeaux;-0.573;44.858;9.57446808510638
33067;Bourg;-0.547;45.04;33063;Bordeaux;-0.573;44.858;91.6017490486306
33068;Bourideys;-0.472;44.358;33063;Bordeaux;-0.573;44.858;10
33069;Le Bouscat;-0.603;44.866;33063;Bordeaux;-0.573;44.858;4214.13229801153
33070;Brach;-0.948;45.041;33063;Bordeaux;-0.573;44.858;75.1174866026461
33071;Branne;-0.18;44.828;33063;Bordeaux;-0.573;44.858;49.5953535135463
33072;Brannens;-0.153;44.522;33063;Bordeaux;-0.573;44.858;9.95867768595041
33073;Braud-et-Saint-Louis;-0.647;45.255;33063;Bordeaux;-0.573;44.858;10.2513966480448
33074;Brouqueyran;-0.178;44.488;33063;Bordeaux;-0.573;44.858;4.90291262135922
33075;Bruges;-0.6;44.889;33063;Bordeaux;-0.573;44.858;3641.6552659589
33076;Budos;-0.4;44.535;33063;Bordeaux;-0.573;44.858;55
33077;Cabanac-et-Villagrains;-0.55;44.592;33063;Bordeaux;-0.573;44.858;162.12716716544
33078;Cabara;-0.161;44.831;33063;Bordeaux;-0.573;44.858;24.7589193711906
33079;Cadarsac;-0.284;44.862;33063;Bordeaux;-0.573;44.858;5.01408450704225
33080;Cadaujac;-0.529;44.747;33063;Bordeaux;-0.573;44.858;587.841724060951
33081;Cadillac;-0.306;44.641;33063;Bordeaux;-0.573;44.858;71.4111258382604
33082;Cadillac-en-Fronsadais;-0.373;44.963;33063;Bordeaux;-0.573;44.858;122.724767458165
33083;Camarsac;-0.369;44.826;33063;Bordeaux;-0.573;44.858;111.235601586966
33084;Cambes;-0.463;44.741;33063;Bordeaux;-0.573;44.858;188.834063091897
33085;Camblanes-et-Meynac;-0.476;44.767;33063;Bordeaux;-0.573;44.858;362.603938573446
33086;Camiac-et-Saint-Denis;-0.292;44.796;33063;Bordeaux;-0.573;44.858;19.7735862246683
33088;Camps-sur-l'Isle;-0.036;45.016;33063;Bordeaux;-0.573;44.858;20
33089;Campugnan;-0.561;45.183;33063;Bordeaux;-0.573;44.858;14.9685116233092
33090;Canéjan;-0.657;44.76;33063;Bordeaux;-0.573;44.858;423.427490181247
33093;Capian;-0.328;44.717;33063;Bordeaux;-0.573;44.858;11.0678047313486
33095;Captieux;-0.284;44.254;33063;Bordeaux;-0.573;44.858;10.0423311848377
33096;Carbon-Blanc;-0.501;44.902;33063;Bordeaux;-0.573;44.858;1105
33097;Carcans;-1.049;45.085;33063;Bordeaux;-0.573;44.858;74.9380165289251
33098;Cardan;-0.322;44.682;33063;Bordeaux;-0.573;44.858;44.5622568093387
33099;Carignan-de-Bordeaux;-0.472;44.81;33063;Bordeaux;-0.573;44.858;502.3675673911
33100;Cars;-0.617;45.128;33063;Bordeaux;-0.573;44.858;20.0325603850667
33101;Cartelègue;-0.578;45.191;33063;Bordeaux;-0.573;44.858;24.9567780395441
33102;Casseuil;-0.119;44.588;33063;Bordeaux;-0.573;44.858;10.186170212766
33104;Castelnau-de-Médoc;-0.813;45.007;33063;Bordeaux;-0.573;44.858;294.017711654271
33105;Castelviel;-0.153;44.666;33063;Bordeaux;-0.573;44.858;10.3303357742621
33106;Castets et Castillon;-0.13;44.554;33063;Bordeaux;-0.573;44.858;40.2225428173551
33108;Castillon-la-Bataille;-0.028;44.863;33063;Bordeaux;-0.573;44.858;20.1351113910159
33109;Castres-Gironde;-0.455;44.686;33063;Bordeaux;-0.573;44.858;219.370214999917
33111;Caudrot;-0.144;44.585;33063;Bordeaux;-0.573;44.858;10
33113;Cauvignac;-0.071;44.417;33063;Bordeaux;-0.573;44.858;5.23809523809524
33114;Cavignac;-0.382;45.097;33063;Bordeaux;-0.573;44.858;189.387582309099
33115;Cazalis;-0.393;44.33;33063;Bordeaux;-0.573;44.858;5.13568522068527
33116;Cazats;-0.202;44.472;33063;Bordeaux;-0.573;44.858;10.225
33117;Cazaugitat;0.011;44.715;33063;Bordeaux;-0.573;44.858;10
33118;Cénac;-0.457;44.783;33063;Bordeaux;-0.573;44.858;200
33119;Cenon;-0.521;44.855;33063;Bordeaux;-0.573;44.858;3242.73747977225
33120;Cérons;-0.34;44.627;33063;Bordeaux;-0.573;44.858;138.114598178043
33121;Cessac;-0.185;44.742;33063;Bordeaux;-0.573;44.858;9.89583333333333
33122;Cestas;-0.727;44.724;33063;Bordeaux;-0.573;44.858;1112.65354740869
33123;Cézac;-0.431;45.085;33063;Bordeaux;-0.573;44.858;225
33124;Chamadelle;-0.09;45.098;33063;Bordeaux;-0.573;44.858;25.103591160221
33125;Cissac-Médoc;-0.848;45.221;33063;Bordeaux;-0.573;44.858;39.6019955536643
33126;Civrac-de-Blaye;-0.462;45.112;33063;Bordeaux;-0.573;44.858;24.912219750934
33127;Civrac-sur-Dordogne;-0.077;44.83;33063;Bordeaux;-0.573;44.858;9.95501429752677
33128;Civrac-en-Médoc;-0.916;45.344;33063;Bordeaux;-0.573;44.858;41.0591900311526
33129;Cleyrac;-0.039;44.719;33063;Bordeaux;-0.573;44.858;10.1307189542484
33130;Coimères;-0.212;44.5;33063;Bordeaux;-0.573;44.858;40
33131;Coirac;-0.173;44.686;33063;Bordeaux;-0.573;44.858;10
33132;Comps;-0.594;45.067;33063;Bordeaux;-0.573;44.858;5.08848548699571
33135;Courpiac;-0.185;44.755;33063;Bordeaux;-0.573;44.858;10.4918032786885
